"","Insect","Plant_Combinations","Mean_Season1","Mean_Season2","StdError_Season1","StdError_Season2","StdError_Season3"
"63","Hoverfly","CrotBot",0,0,0.000993669390090989,0.0011527648038685,"NA"
"64","Hoverfly","CrotBot",0,0,0.000993669390090989,0.0011527648038685,"NA"
"65","Hoverfly","Crotwater",0,0,0.000993669390090989,0.0011527648038685,"NA"
"66","Hoverfly","Crotwater",0.25,0.25,0.000993669390090989,0.0011527648038685,"NA"
"67","Hoverfly","Crotwater",0,0,0.000993669390090989,0.0011527648038685,"NA"
"68","Hoverfly","Crotwater",0.25,0.25,0.000993669390090989,0.0011527648038685,"NA"
"69","Hoverfly","Crotattack",0,0,0.000993669390090989,0.0011527648038685,"NA"
"70","Hoverfly","Crotattack",0,0,0.000993669390090989,0.0011527648038685,"NA"
"71","Hoverfly","Crotattack",0,0,0.000993669390090989,0.0011527648038685,"NA"
"72","Hoverfly","Crotattack",0,0,0.000993669390090989,0.0011527648038685,"NA"
"73","Hoverfly","Nopwater",0,0.25,0.000993669390090989,0.0011527648038685,"NA"
"74","Hoverfly","Nopwater",0.25,0.5,0.000993669390090989,0.0011527648038685,"NA"
"75","Hoverfly","Nopwater",0,0,0.000993669390090989,0.0011527648038685,"NA"
"76","Hoverfly","Nopwater",0.25,0.25,0.000993669390090989,0.0011527648038685,"NA"
"77","Hoverfly","Nopattack",0,0,0.000993669390090989,0.0011527648038685,"NA"
"78","Hoverfly","Nopattack",0,0,0.000993669390090989,0.0011527648038685,"NA"
"79","Hoverfly","Nopattack",0,0,0.000993669390090989,0.0011527648038685,"NA"
"80","Hoverfly","Nopattack",0,0,0.000993669390090989,0.0011527648038685,"NA"
